"data_resultado";"genero";"fx_etaria";"total";"total_acumulado"
2020-03-28;"Masculino";"55-59";3;9
2020-03-28;"Masculino";"60-64";2;10
2020-03-28;"Masculino";"65-69";1;4
2020-03-28;"Masculino";"70-74";2;3
2020-03-28;"Masculino";"75-79";1;2
2020-03-30;"Feminino";"15-19";2;12
2020-03-30;"Feminino";"25-29";3;50
2020-03-30;"Feminino";"30-34";6;63
2020-03-30;"Feminino";"35-39";5;54
2020-03-30;"Feminino";"40-44";2;30
2020-03-30;"Feminino";"45-49";2;20
2020-03-30;"Feminino";"50-54";1;16
2020-03-30;"Feminino";"55-59";2;14
2020-03-30;"Feminino";"60-64";2;7
2020-03-30;"Feminino";"75-79";1;4
2020-03-30;"Feminino";"80-84";1;5
2020-03-30;"Masculino";"15-19";1;14
2020-03-30;"Masculino";"20-24";2;25
2020-03-30;"Masculino";"30-34";3;38
2020-03-30;"Masculino";"35-39";6;32
2020-03-30;"Masculino";"40-44";2;29
2020-03-30;"Masculino";"5-9";1;9
2020-03-30;"Masculino";"55-59";2;11
2020-03-30;"Masculino";"60-64";3;13
2020-03-31;"Feminino";"20-24";2;60
2020-03-31;"Feminino";"25-29";3;53
2020-03-31;"Feminino";"30-34";4;67
2020-03-31;"Feminino";"35-39";9;63
2020-03-31;"Feminino";"40-44";5;35
2020-03-31;"Feminino";"45-49";1;21
2020-03-31;"Feminino";"50-54";2;18
2020-03-31;"Feminino";"55-59";2;16
2020-03-31;"Feminino";"65-69";1;8
2020-03-31;"Feminino";"70-74";1;5
2020-03-31;"Feminino";"80-84";1;6
2020-03-31;"Feminino";"90-94";2;3
2020-03-31;"Masculino";"15-19";1;15
2020-03-31;"Masculino";"20-24";3;28
2020-03-31;"Masculino";"25-29";2;29
2020-03-31;"Masculino";"30-34";2;40
2020-03-31;"Masculino";"35-39";4;36
2020-03-31;"Masculino";"40-44";4;33
2020-03-31;"Masculino";"45-49";1;11
2020-03-31;"Masculino";"55-59";2;13
2020-03-31;"Masculino";"75-79";1;3
2020-03-31;"Masculino";"85-89";1;1
2020-04-01;"Feminino";"0-4";1;10
2020-04-01;"Feminino";"15-19";3;15
2020-04-01;"Feminino";"20-24";5;65
2020-04-01;"Feminino";"25-29";9;62
2020-04-01;"Feminino";"30-34";12;79
2020-04-01;"Feminino";"35-39";8;71
2020-04-01;"Feminino";"40-44";5;40
2020-04-01;"Feminino";"45-49";1;22
2020-04-01;"Feminino";"50-54";7;25
2020-04-01;"Feminino";"55-59";4;20
2020-04-01;"Feminino";"60-64";2;9
2020-04-01;"Feminino";"65-69";1;9
2020-04-01;"Feminino";"70-74";1;6
2020-04-01;"Feminino";"85-89";2;5
2020-04-01;"Masculino";"0-4";1;18
2020-04-01;"Masculino";"20-24";3;31
2020-04-01;"Masculino";"25-29";2;31
2020-04-01;"Masculino";"30-34";2;42
2020-04-01;"Masculino";"35-39";7;43
